year,player_name,final_season_rank
2018,Justin Rose,1
2018,Tiger Woods,2
2018,Bryson DeChambeau,3
2018,Dustin Johnson,4
2018,Billy Horschel,5
2018,Tony Finau,6
2018,Justin Thomas,7
2018,Keegan Bradley,8
2018,Brooks Koepka,9
2018,Bubba Watson,10
2018,Webb Simpson,11
2018,Cameron Smith,12
2018,Hideki Matsuyama,13
2018,Rory McIlroy,13
2018,Xander Schauffele,15
2018,Jason Day,16
2018,Rickie Fowler,17
2018,Francesco Molinari,17
2018,Tommy Fleetwood,19
2018,Patrick Cantlay,20
2018,Phil Mickelson,21
2018,Patrick Reed,22
2018,Jon Rahm,23
2018,Aaron Wise,24
2018,Paul Casey,25
2018,Gary Woodland,26
2018,Kyle Stanley,27
2018,Kevin Na,28
2018,Marc Leishman,29
2018,Patton Kizzire,30
2018,Jordan Spieth,31
2018,Emiliano Grillo,32
2018,Andrew Putnam,33
2018,Chez Reavie,34
2018,C.T. Pan,35
2018,Adam Hadwin,36
2018,Andrew Landry,37
2018,Austin Cook,38
2018,Pat Perez,39
2018,Brandt Snedeker,40
2018,Rafa Cabrera Bello,41
2018,Byeong Hun An,42
2018,Alex Noren,43
2018,Chesson Hadley,44
2018,Luke List,45
2018,Beau Hossler,46
2018,Kevin Kisner,47
2018,Brian Harman,48
2018,Ryan Armour,49
2018,Ian Poulter,50
2018,Adam Scott,51
2018,Jason Kokrak,52
2018,Charles Howell III,53
2018,Tyrrell Hatton,54
2018,Si Woo Kim,55
2018,Brendan Steele,56
2018,Henrik Stenson,57
2018,Zach Johnson,58
2018,Brian Gay,59
2018,Abraham Ancer,60
2018,Brice Garnett,61
2018,J.J. Spaun,62
2018,Ryan Palmer,63
2018,Peter Uihlein,64
2018,Ted Potter Jr.,65
2018,Chris Kirk,66
2018,Keith Mitchell,67
2018,Scott Piercy,68
2018,Louis Oosthuizen,69
2018,Daniel Berger,70
2018,Ryan Moore,71
2018,Whee Kim,72
2018,Stewart Cink,73
2018,Nick Watney,74
2018,Jimmy Walker,75
2018,Matt Kuchar,76
2018,Kevin Streelman,77
2018,Bronson Burgoon,78
2018,Charley Hoffman,79
2018,Joel Dahmen,80
2018,Michael Kim,81
2018,J.B. Holmes,82
2018,Kevin Chappell,83
2018,James Hahn,84
2018,Jamie Lovemark,85
2018,Brian Stuard,86
2018,Kevin Tway,87
2018,Branden Grace,88
2018,Russell Knox,89
2018,Kelly Kraft,90
2018,Troy Merritt,91
2018,Tom Hoge,92
2018,Scott Stallings,93
2018,Satoshi Kodaira,94
2018,Jhonattan Vegas,95
2018,Russell Henley,96
2018,Danny Lee,97
2018,Ollie Schniederjans,98
2018,Anirban Lahiri,99
2018,Jason Dufner,100
2018,Sam Ryder,101
2018,Trey Mullinax,102
2018,Brandon Harkins,103
2018,Patrick Rodgers,104
2018,Charl Schwartzel,105
2018,Sean O'Hair,106
2018,Harold Varner III,107
2018,Alex Cejka,108
2018,Rory Sabbatini,109
2018,Richy Werenski,110
2018,Sung Kang,111
2018,John Huh,112
2018,Tyler Duncan,113
2018,Seamus Power,114
2018,Martin Laird,115
2018,William McGirt,116
2018,J.T. Poston,117
2018,Vaughn Taylor,118
2018,Grayson Murray,119
2018,Sam Saunders,120
2018,Ryan Blaum,121
2018,Scott Brown,122
2018,Nick Taylor,123
2018,Bud Cauley,124
2018,Harris English,125
2018,Martin Piller,126
2018,Tyrone Van Aswegen,127
2018,Sergio Garcia,128
2018,Chad Campbell,129
2018,Corey Conners,130
2018,Robert Garrigus,131
2018,Aaron Baddeley,132
2018,Johnson Wagner,133
2018,Tom Lovelady,134
2018,Lucas Glover,135
2018,Ben Silverman,136
2018,Derek Fathauer,137
2018,David Hearn,138
2018,Talor Gooch,139
2018,Shane Lowry,140
2018,Jim Furyk,141
2018,Michael Thompson,142
2018,David Lingmerth,143
2018,Graeme McDowell,144
2018,Steve Stricker,145
2018,Nicholas Lindheim,146
2018,Shawn Stefani,147
2018,Ben Crane,148
2018,Denny McCarthy,149
2018,Ben Martin,150
